Location,Weather,Date
"Afghanistan, Kabul",invalid,invalid
"Algeria, Algiers",Partly Cloudy,2023-02-05
"Angola, Luanda",invalid,invalid
"Antigua and Barbuda, St. John's Antigua",invalid,invalid
"Argentina, Buenos Aires",Partly Cloudy,2023-02-05
"Armenia, Yerevan",Light Rain,2023-02-05
"Australia, Canberra",Sunny,2023-02-05
"Austria, Vienna",Sunny,2023-02-05
"Azerbaijan, Baku",Sleet,2023-02-05
"Bahamas, Nassau",Scattered Showers,2023-02-04
"Bahrain, Bahrain/Manama",Fine,2023-02-05
"Bangladesh, Dhaka",invalid,invalid
"Belarus, Minsk",Light Snow,2023-02-05
"Belgium, Brussels",Drizzle,2023-02-05
"Belize, Belmopan City",Thundershowers,2023-02-04
"Benin, Porto-Novo",invalid,invalid
"Bosnia and Herzegovina, Sarajevo",Light Snow,2023-02-05
"Botswana, Gaborone",Thundershowers,2023-02-05
"Brazil, Brasilia",Rain,2023-02-04
"Brunei Darussalam, Bandar Seri Begawan",Partly Cloudy,2023-02-05
"Bulgaria, Sofia",Light Snow,2023-02-05
"Burkina Faso, Ouagadougou Aero",invalid,invalid
"Burundi, Bujumbura",invalid,invalid
"Cambodia, Phnom Penh - Pochentong",invalid,invalid
"Cameroon, Yaounde",Partly Cloudy,2023-02-05
"Canada, Ottawa, Ontario",Light Snow,2023-02-05
"Chad, Ndjamena",invalid,invalid
"Chile, Santiago",Sunny,2023-02-05
"China, Beijing",Cloudy,2023-02-05
"Colombia, Bogota",invalid,invalid
"Comoros, Moroni",invalid,invalid
"Costa Rica, San Jose",Windy,2023-02-04
"Croatia, Zagreb",Sunny Intervals,2023-02-05
"Cuba, Havana",Scattered Showers,2023-02-05
"Cyprus, Nicosia",Thunderstorms,2023-02-05
"Czechia, Prague",Cloudy,2023-02-05
"Denmark, Copenhagen",Light Snow,2023-02-05
"Djibouti, Djibouti",invalid,invalid
"Dominican Republic, Santo Domingo",Rain,2023-02-05
"Democratic People's Republic of Korea, Pyongyang",Fine,2023-02-05
"Ecuador, Quito",Isolated Showers,2023-02-05
"Egypt, Cairo",invalid,invalid
"El Salvador, San Salvador",Fine,2023-02-04
"Eritrea, Asmara",invalid,invalid
"Estonia, Tallinn",Snow,2023-02-05
"Eswatini, Mbabane",invalid,invalid
"Ethiopia, Addis Ababa",Sunny,2023-02-05
"Fiji, Suva",Thunderstorms,2023-02-06
"Finland, Helsinki-Vantaa",Cloudy,2023-02-05
"France, Paris",Light Rain,2023-02-05
"Gabon, Libreville",invalid,invalid
"Gambia (The), Banjul",invalid,invalid
"Georgia, Tbilisi",invalid,invalid
"Germany, Berlin",Cloudy,2023-02-05
"Ghana, Accra",Thunderstorms,2023-02-05
"Greece, Athens",Snow,2023-02-05
"Guatemala, Guatemala City",invalid,invalid
"Guinea, Conakry",invalid,invalid
"Guinea-Bissau, Bissau",invalid,invalid
"Guyana, Georgetown",Scattered Showers,2023-02-04
"Haiti, Port-au-Prince",invalid,invalid
"Honduras, Tegucigalpa",invalid,invalid
"Hungary, Budapest",Sunny,2023-02-05
"Iceland, Reykjavik",invalid,invalid
"India, New Delhi (SFD)",Clear,2023-02-05
"Indonesia, Jakarta",Light Rain,2023-02-05
"Iran (Islamic Republic of), Tehran",invalid,invalid
"Iraq, Baghdad",invalid,invalid
"Ireland, Dublin",Sunny,2023-02-05
"Israel, Jerusalem",Partly Cloudy,2023-02-05
"Italy, Rome (ROMA)",Mostly Cloudy,2023-02-05
"Jamaica, Kingston",invalid,invalid
"Japan, Tokyo",Cloudy,2023-02-05
"Jordan, Amman",invalid,invalid
"Kazakhstan, Astana",Snow,2023-02-05
